InstanceID,"_id","_index","_score","_type",achivedMakespan,approximation,bigJobs,estimatedOptimum,fptas,jobs,machines,milliseconds,shelvesAlgo,smallJobs
"1,677,347,910,758",gegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",49,TwoApproximation,33,"32.753",DoubleCompressionApproach,33,61,"8,626",KilianApproach,0
"1,677,347,919,395",gugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",62,TwoApproximation,46,"41.664",DoubleCompressionApproach,47,59,"7,840",KilianApproach,1
"1,677,347,927,249","g-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",41,TwoApproximation,32,"27.659",DoubleCompressionApproach,32,64,"9,033",KilianApproach,0
"1,677,347,936,294",hOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",75,TwoApproximation,45,"49.359",DoubleCompressionApproach,46,58,"8,293",KilianApproach,1
"1,677,347,944,600",hegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",37,TwoApproximation,31,"24.113",DoubleCompressionApproach,31,68,"11,326",KilianApproach,0
"1,677,347,955,935",hugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",47,TwoApproximation,31,"31.726",DoubleCompressionApproach,31,62,"16,306",KilianApproach,0
"1,677,347,972,261","h-gsioYBidAx9Qr1Lyxf","radix-testdata-2023-02-25",1,"_doc",64,TwoApproximation,39,"43.099",DoubleCompressionApproach,39,53,"4,822",KilianApproach,0
"1,677,347,977,099",iOgsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",53,TwoApproximation,35,"36.812",DoubleCompressionApproach,35,60,"9,523",KilianApproach,0
"1,677,347,986,634",iegsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",45,TwoApproximation,30,"31.177",DoubleCompressionApproach,30,55,"5,452",KilianApproach,0
"1,677,347,992,091",iugsioYBidAx9Qr1Lyxf,"radix-testdata-2023-02-25",1,"_doc",59,TwoApproximation,37,"39.118",DoubleCompressionApproach,37,56,"6,784",KilianApproach,0
