 id, jobs, machines, opt, makespan, guaranteed_ratio, runtime_ms, approximation_alg, fptas_alg, shelves_alg, nb_big_jobs, nb_small_jobs
 1745065728892,1000,1367,63.3469178898106,90.0,RATIO_10_7,10642,TwoApproximation,CompressionApproach,OhnesorgeApproach,837,163
 1745065742010,1000,1690,59.03045501708984,84.0,RATIO_10_7,12879,TwoApproximation,CompressionApproach,OhnesorgeApproach,891,110
 1745065757345,1000,1714,57.68840549428933,82.0,RATIO_10_7,16868,TwoApproximation,CompressionApproach,OhnesorgeApproach,877,123
 1745065776755,1000,1596,58.58929374522732,83.0,RATIO_10_7,12921,TwoApproximation,CompressionApproach,OhnesorgeApproach,892,109
 1745065792293,1000,1551,61.16562805569302,87.0,RATIO_10_7,14821,TwoApproximation,CompressionApproach,OhnesorgeApproach,875,125
 1745065809610,1000,1194,68.07431906950931,97.0,RATIO_10_7,9555,TwoApproximation,CompressionApproach,OhnesorgeApproach,807,193
 1745065821892,1000,664,95.31758471569383,136.0,RATIO_10_7,4281,TwoApproximation,CompressionApproach,OhnesorgeApproach,647,354
 1745065828641,1000,1149,71.31913854268657,101.0,RATIO_10_7,8994,TwoApproximation,CompressionApproach,OhnesorgeApproach,808,192
 1745065840602,1000,934,79.27460223244907,113.0,RATIO_10_7,6799,TwoApproximation,CompressionApproach,OhnesorgeApproach,742,258
 1745065850089,1000,1238,69.54824813078599,99.0,RATIO_10_7,9808,TwoApproximation,CompressionApproach,OhnesorgeApproach,803,197
 1745065862300,1000,1661,58.5390096592085,83.0,RATIO_10_7,13281,TwoApproximation,CompressionApproach,OhnesorgeApproach,865,135
 1745065878708,1000,816,85.42604943817737,122.0,RATIO_10_7,6148,TwoApproximation,CompressionApproach,OhnesorgeApproach,722,278
 1745065887296,1000,1783,57.24992872955956,81.0,RATIO_10_7,16790,TwoApproximation,CompressionApproach,OhnesorgeApproach,892,109
 1745065906542,1000,1678,59.09653924844262,84.0,RATIO_10_7,13381,TwoApproximation,CompressionApproach,OhnesorgeApproach,884,116
 1745065924157,1000,1495,62.200162748509044,88.0,RATIO_10_7,13888,TwoApproximation,CompressionApproach,OhnesorgeApproach,865,136
 1745065940506,1000,1823,54.28491185827041,77.0,RATIO_10_7,15829,TwoApproximation,CompressionApproach,OhnesorgeApproach,896,105
 1745065958957,1000,1051,74.02286094716341,105.0,RATIO_10_7,10750,TwoApproximation,CompressionApproach,OhnesorgeApproach,767,234
 1745065972543,1000,1791,55.10213850011778,78.0,RATIO_10_7,14601,TwoApproximation,CompressionApproach,OhnesorgeApproach,901,100
 1745065989791,1000,1049,75.8957598661672,108.0,RATIO_10_7,7488,TwoApproximation,CompressionApproach,OhnesorgeApproach,777,223
 1745065999700,1000,907,80.52748271096766,115.0,RATIO_10_7,6133,TwoApproximation,CompressionApproach,OhnesorgeApproach,734,267
 1745066008241,1000,673,95.75635418601411,136.0,RATIO_10_7,4303,TwoApproximation,CompressionApproach,OhnesorgeApproach,667,333
 1745066015069,1000,1212,68.48127289573745,97.0,RATIO_10_7,9330,TwoApproximation,CompressionApproach,OhnesorgeApproach,800,201
 1745066027292,1000,1844,54.02844248417919,77.0,RATIO_10_7,19817,TwoApproximation,CompressionApproach,OhnesorgeApproach,907,94
 1745066049604,1000,704,91.20631920749491,130.0,RATIO_10_7,7224,TwoApproximation,CompressionApproach,OhnesorgeApproach,681,320
 1745066059296,1000,597,100.10651728695561,143.0,RATIO_10_7,3902,TwoApproximation,CompressionApproach,OhnesorgeApproach,588,412
